ProjectID,ProjectName,ProjectType,ClientID,AreaID,ResponsibleID,PriorityID,PlannedStartDate,PlannedEndDate
PR0026,Automatización de Reporte de Producción 026,Planta,C013,A001,R018,P3,2024-06-29,2024-10-05
PR0027,Proyecto de Monitoreo Geotécnico 027,Automatización,C020,A008,R022,P4,2024-03-27,2024-06-12
PR0028,Mejora de Confiabilidad de Bombas de Pulpa 028,Infraestructura,C009,A015,R015,P4,2024-08-07,2024-11-11
PR0029,Programa de Reducción de Backlog 029,Confiabilidad,C004,A013,R001,P2,2024-02-20,2024-03-22
PR0030,Optimización de Flotación 030,Mina,C009,A015,R003,P3,2024-12-06,2025-02-19
PR0031,Reemplazo de Variadores en Correas 031,Mantenimiento,C017,A008,R009,P3,2024-11-05,2025-02-20
PR0032,Implementación de Tablero Operacional 032,Energía,C005,A007,R008,P2,2024-02-13,2024-07-29
PR0033,Optimización de Chancado Primario 033,Mina,C019,A013,R026,P1,2024-10-14,2025-03-03
PR0034,Reemplazo de Correa CV-101 034,Planta,C012,A003,R026,P1,2024-02-12,2024-07-08
PR0035,Mejora de Disponibilidad de Camiones CAEX 035,Confiabilidad,C013,A005,R026,P3,2024-09-20,2025-01-09
PR0036,Modernización Sistema Dispatch 036,Energía,C007,A011,R020,P2,2024-02-02,2024-03-19
PR0037,Upgrade SCADA Planta 037,Confiabilidad,C019,A012,R017,P4,2024-06-27,2024-09-23
PR0038,Reducción de Consumo Energético en Molienda 038,Seguridad,C001,A003,R020,P2,2024-08-28,2025-02-23
PR0039,Programa de Seguridad en Taller Mina 039,Confiabilidad,C006,A009,R013,P4,2024-09-23,2024-10-29
PR0040,Mejoramiento Sistema de Relaves 040,Planta,C009,A007,R021,P2,2024-06-02,2024-11-10
PR0041,Cambio de Revestimientos Molino SAG 041,Automatización,C010,A009,R024,P3,2024-12-03,2025-04-14
PR0042,Automatización de Reporte de Producción 042,Transformación Digital,C010,A017,R023,P1,2024-10-10,2024-12-21
PR0043,Proyecto de Monitoreo Geotécnico 043,Planta,C003,A002,R019,P3,2024-03-17,2024-08-10
PR0044,Mejora de Confiabilidad de Bombas de Pulpa 044,Infraestructura,C005,A017,R002,P3,2024-09-02,2025-02-04
PR0045,Programa de Reducción de Backlog 045,Automatización,C002,A008,R022,P4,2024-09-24,2024-10-30
PR0046,Optimización de Flotación 046,Confiabilidad,C012,A014,R011,P3,2024-05-02,2024-06-16
PR0047,Reemplazo de Variadores en Correas 047,Confiabilidad,C008,A008,R023,P1,2024-09-27,2025-02-03
PR0048,Implementación de Tablero Operacional 048,Infraestructura,C012,A006,R017,P2,2024-11-24,2025-05-22
PR0049,Optimización de Chancado Primario 049,Confiabilidad,C012,A014,R027,P1,2024-10-26,2024-11-28
PR0050,Reemplazo de Correa CV-101 050,Confiabilidad,C015,A012,R011,P1,2024-10-06,2025-02-12
PR0051,Mejora de Disponibilidad de Camiones CAEX 051,Seguridad,C011,A003,R028,P3,2024-08-20,2024-10-09
PR0052,Modernización Sistema Dispatch 052,Mina,C013,A012,R026,P3,2024-04-09,2024-08-14
PR0053,Upgrade SCADA Planta 053,Mantenimiento,C012,A013,R010,P3,2024-10-18,2025-02-18
PR0054,Reducción de Consumo Energético en Molienda 054,Planta,C014,A007,R015,P4,2024-05-13,2024-06-25
PR0055,Programa de Seguridad en Taller Mina 055,Mantenimiento,C013,A016,R016,P3,2024-07-13,2024-11-22
PR0056,Mejoramiento Sistema de Relaves 056,Energía,C007,A011,R024,P3,2024-04-25,2024-10-06
PR0057,Cambio de Revestimientos Molino SAG 057,Producción,C005,A006,R021,P1,2024-04-24,2024-09-30
PR0058,Automatización de Reporte de Producción 058,Confiabilidad,C016,A001,R026,P2,2024-02-27,2024-04-01
PR0059,Proyecto de Monitoreo Geotécnico 059,Planta,C007,A012,R012,P3,2024-12-17,2025-02-21
PR0060,Mejora de Confiabilidad de Bombas de Pulpa 060,Energía,C011,A004,R016,P3,2024-02-24,2024-04-30
PR0061,Programa de Reducción de Backlog 061,Producción,C004,A013,R013,P1,2024-02-01,2024-05-08
PR0062,Optimización de Flotación 062,Transformación Digital,C009,A009,R028,P2,2024-12-08,2025-01-28
PR0063,Reemplazo de Variadores en Correas 063,Automatización,C011,A008,R010,P3,2024-07-22,2024-12-27
PR0064,Implementación de Tablero Operacional 064,Mantenimiento,C013,A003,R018,P1,2024-06-09,2024-11-02
PR0065,Optimización de Chancado Primario 065,Automatización,C011,A013,R004,P2,2024-09-26,2025-02-24
PR0066,Reemplazo de Correa CV-101 066,Planta,C008,A003,R026,P4,2024-05-20,2024-07-18
PR0067,Mejora de Disponibilidad de Camiones CAEX 067,Seguridad,C020,A008,R012,P3,2024-02-16,2024-03-19
PR0068,Modernización Sistema Dispatch 068,Infraestructura,C011,A015,R011,P2,2024-09-24,2025-03-09
PR0069,Upgrade SCADA Planta 069,Mina,C017,A016,R018,P3,2024-03-05,2024-05-17
PR0070,Reducción de Consumo Energético en Molienda 070,Automatización,C015,A017,R015,P2,2024-07-21,2024-11-26
PR0071,Programa de Seguridad en Taller Mina 071,Mantenimiento,C012,A017,R026,P3,2024-12-13,2025-05-28
PR0072,Mejoramiento Sistema de Relaves 072,Energía,C018,A010,R016,P2,2024-12-08,2025-01-12
PR0073,Cambio de Revestimientos Molino SAG 073,Seguridad,C003,A004,R016,P3,2024-05-12,2024-06-11
PR0074,Automatización de Reporte de Producción 074,Transformación Digital,C019,A015,R004,P2,2024-10-12,2024-11-11
PR0075,Proyecto de Monitoreo Geotécnico 075,Automatización,C018,A014,R001,P2,2024-08-12,2024-10-04
PR0076,Mejora de Confiabilidad de Bombas de Pulpa 076,Producción,C011,A017,R012,P4,2024-06-24,2024-07-31
PR0077,Programa de Reducción de Backlog 077,Mantenimiento,C015,A012,R030,P2,2024-02-21,2024-07-22
PR0078,Optimización de Flotación 078,Automatización,C011,A003,R028,P1,2024-05-17,2024-09-14
PR0079,Reemplazo de Variadores en Correas 079,Automatización,C006,A009,R019,P2,2024-08-26,2025-02-19
PR0080,Implementación de Tablero Operacional 080,Infraestructura,C016,A008,R019,P3,2024-12-27,2025-05-26
